Line ID,Utility ID,Source Substation ID,Source Substation,Destination Substation ID,Destination Substation,Voltage (kV),Length (km),Capacity (MVA),Status,Line Type,Utility Name,Utility Alias,Utility Code,Utility Type,Utility Country,Utility Active,Source Substation Name,Source Short Name,Source Region,Source Country,Source Latitude,Source Longitude,Source Voltage (kV),Source Capacity (MVA),Source Commissioning Year,Source Type,Source Status,Destination Substation Name,Destination Short Name,Destination Region,Destination Country,Destination Latitude,Destination Longitude,Destination Voltage (kV),Destination Capacity (MVA),Destination Commissioning Year,Destination Type,Destination Status
1,2,1,Achimota Substation,2,Tema Substation,11,25.2,215.0,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Achimota Substation,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2008,Distribution,Active,Tema Substation,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,1997,Transmission,Active
2,2,1,Achimota Substation,3,Mallam Substation,11,11.0,36.4,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Achimota Substation,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2008,Distribution,Active,Mallam Substation,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,1979,Transmission,Active
3,3,1,Achimota Substation,5,Kaneshie Substation,11,5.9,277.4,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Achimota Substation,Achimota,Greater Accra,Ghana,5.6085,-0.2193,11,6.4,2008,Distribution,Active,Kaneshie Substation,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,1970,Transmission,Active
4,1,2,Tema Substation,3,Mallam Substation,330,34.4,39.0,Active,Underground,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Tema Substation,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,1997,Transmission,Active,Mallam Substation,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,1979,Transmission,Active
5,3,2,Tema Substation,4,Legon Substation,161,19.5,186.5,Active,Underground,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Tema Substation,Tema,Greater Accra,Ghana,5.6596,-0.0226,330,48.5,1997,Transmission,Active,Legon Substation,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,2009,Transmission,Active
6,2,3,Mallam Substation,4,Legon Substation,161,17.1,220.5,Active,Underground,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Mallam Substation,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,1979,Transmission,Active,Legon Substation,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,2009,Transmission,Active
7,3,3,Mallam Substation,5,Kaneshie Substation,161,7.0,108.5,Active,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Mallam Substation,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,1979,Transmission,Active,Kaneshie Substation,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,1970,Transmission,Active
8,3,3,Mallam Substation,6,Aboadze Junction Substation,161,22.4,298.9,Under Maintenance,Overhead,Ghana Grid Company,GRIDCo,GRD,Transmission,Ghana,Y,Mallam Substation,Mallam,Greater Accra,Ghana,5.563,-0.2971,330,25.2,1979,Transmission,Active,Aboadze Junction Substation,Aboadze Junction,Greater Accra,Ghana,5.5921,-0.1439,161,52.2,2011,Transmission,Active
9,1,4,Legon Substation,5,Kaneshie Substation,161,13.4,266.6,Active,Underground,Electricity Company of Ghana,ECG,ECG,Distribution,Ghana,Y,Legon Substation,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,2009,Transmission,Active,Kaneshie Substation,Kaneshie,Greater Accra,Ghana,5.5691,-0.2413,161,146.0,1970,Transmission,Active
10,2,4,Legon Substation,6,Aboadze Junction Substation,161,8.4,217.0,Active,Overhead,Northern Electricity Distribution Company,NEDCo,NED,Distribution,Ghana,Y,Legon Substation,Legon,Greater Accra,Ghana,5.6401,-0.1799,161,241.9,2009,Transmission,Active,Aboadze Junction Substation,Aboadze Junction,Greater Accra,Ghana,5.5921,-0.1439,161,52.2,2011,Transmission,Active
